INFO 2025-11-20 16:22:37,402 django.utils.autoreload autoreload Watching for file changes with StatReloader
INFO 2025-11-20 16:31:52,008 django.server basehttp "GET /media/sliders/2025/11/18/b2.jpg HTTP/1.1" 200 1739559
INFO 2025-11-20 16:31:52,023 django.server basehttp "GET /media/products/2025/11/18/borkha.jpg_2.jpg HTTP/1.1" 200 42964
INFO 2025-11-20 16:31:52,024 django.server basehttp "GET /media/products/2025/11/18/baby_1.jpg HTTP/1.1" 200 6662
INFO 2025-11-20 16:31:52,077 django.server basehttp "GET /media/products/2025/11/18/baby_5.jpg HTTP/1.1" 200 4097
INFO 2025-11-20 16:31:52,079 django.server basehttp "GET /media/products/2025/11/18/baby_2.jpg HTTP/1.1" 200 12252
INFO 2025-11-20 16:31:52,087 django.server basehttp "GET /media/products/2025/11/18/baby_4.jpg HTTP/1.1" 200 12120
INFO 2025-11-20 16:31:52,095 django.server basehttp "GET /static/assets/images/paymentlogo.png HTTP/1.1" 200 7075
INFO 2025-11-20 16:31:52,118 django.server basehttp "GET /media/products/2025/11/18/baby5.jpg HTTP/1.1" 200 30064
INFO 2025-11-20 16:31:52,121 django.server basehttp "GET /media/products/2025/11/18/borkha.jpg HTTP/1.1" 200 92570
INFO 2025-11-20 16:31:52,125 django.server basehttp "GET /media/products/2025/11/18/borkha.jpg_5.jpg HTTP/1.1" 200 30058
INFO 2025-11-20 16:31:52,138 django.server basehttp "GET /static/assets/images/payavail/cc.jpg HTTP/1.1" 200 74962
INFO 2025-11-20 16:31:55,796 project views User admin viewed product 6 - New Stylish Denim Jeans Pant For Men by fashion johan
INFO 2025-11-20 16:31:55,805 django.server basehttp "GET /single-product/new-stylish-denim-jeans-pant-for-men-by-fashion-johan/6/ HTTP/1.1" 200 12562
INFO 2025-11-20 16:32:58,483 project views User admin visited Home page
INFO 2025-11-20 16:32:58,525 django.server basehttp "GET / HTTP/1.1" 200 27222
INFO 2025-11-20 16:33:05,131 project views User admin viewed product 7 - NEW STYLISH EXPORT OUALITY TRANDING JEANS PANT FOR MEN _MEN"S JEANS
INFO 2025-11-20 16:33:05,142 django.server basehttp "GET /single-product/new-stylish-export-ouality-tranding-jeans-pant-for-men-_mens-jeans/7/ HTTP/1.1" 200 12600
INFO 2025-11-20 16:33:09,080 project views User admin visited Home page
INFO 2025-11-20 16:33:09,118 django.server basehttp "GET / HTTP/1.1" 200 27222
INFO 2025-11-20 16:33:14,571 project views User admin viewed product 5 - New Zarifah Embroidery Dubai cherry Fabrics Borka
INFO 2025-11-20 16:33:14,585 django.server basehttp "GET /single-product/new-zarifah-embroidery-dubai-cherry-fabrics-borka/5/ HTTP/1.1" 200 12548
INFO 2025-11-20 16:33:19,071 project views User admin visited Home page
INFO 2025-11-20 16:33:19,115 django.server basehttp "GET / HTTP/1.1" 200 27222
INFO 2025-11-20 16:33:32,359 project views User admin visited Home page
INFO 2025-11-20 16:33:32,400 django.server basehttp "GET / HTTP/1.1" 200 27222
INFO 2025-11-20 16:33:32,440 django.server basehttp "GET /static/assets/css/owl.carousel.min.css HTTP/1.1" 200 3356
