INFO 2025-11-27 11:12:53,260 django.utils.autoreload autoreload Watching for file changes with StatReloader
DEBUG 2025-11-27 11:12:53,267 django.utils.autoreload autoreload Waiting for apps ready_event.
DEBUG 2025-11-27 11:12:53,577 django.utils.autoreload autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2025-11-27 11:12:53,720 django.utils.autoreload autoreload Watching dir L:\Programming\Programming\All-Main-Problem-Solving\AI-Quest-Python\assignment 15\templates with glob **/*.
DEBUG 2025-11-27 11:12:53,732 django.utils.autoreload autoreload Watching dir L:\Programming\Programming\All-Main-Problem-Solving\AI-Quest-Python\assignment 15\locale with glob **/*.mo.
DEBUG 2025-11-27 11:12:53,776 django.utils.autoreload autoreload Watching dir L:\Programming\Programming\All-Main-Problem-Solving\AI-Quest-Python\assignment 15\accounts\locale with glob **/*.mo.
DEBUG 2025-11-27 11:12:53,779 django.utils.autoreload autoreload Watching dir L:\Programming\Programming\All-Main-Problem-Solving\AI-Quest-Python\assignment 15\store\locale with glob **/*.mo.
DEBUG 2025-11-27 11:12:53,780 django.utils.autoreload autoreload Watching dir L:\Programming\Programming\All-Main-Problem-Solving\AI-Quest-Python\assignment 15\cart\locale with glob **/*.mo.
DEBUG 2025-11-27 11:12:53,782 django.utils.autoreload autoreload Watching dir L:\Programming\Programming\All-Main-Problem-Solving\AI-Quest-Python\assignment 15\checkout\locale with glob **/*.mo.
DEBUG 2025-11-27 11:12:54,143 django.utils.autoreload autoreload File L:\Programming\Programming\All-Main-Problem-Solving\AI-Quest-Python\assignment 16\env\Lib\site-packages\django\db\backends\base\creation.py first seen with mtime 1763318321.1609628
DEBUG 2025-11-27 11:12:54,144 django.utils.autoreload autoreload File L:\Programming\Programming\All-Main-Problem-Solving\AI-Quest-Python\assignment 16\env\Lib\site-packages\django\core\checks\security\csrf.py first seen with mtime 1763318321.0941415
DEBUG 2025-11-27 11:12:54,145 django.utils.autoreload autoreload File L:\Programming\Programming\All-Main-Problem-Solving\AI-Quest-Python\assignment 16\env\Lib\site-packages\django\utils\autoreload.py first seen with mtime 1763318321.7064867
DEBUG 2025-11-27 11:12:54,145 django.utils.autoreload autoreload File L:\Programming\Programming\All-Main-Problem-Solving\AI-Quest-Python\assignment 16\env\Lib\site-packages\django\db\models\functions\comparison.py first seen with mtime 1763318321.2507281
